Ct,Target,Condition,Cell_line,Additional_info
29.631691,hIFIT3,bRSV dSH 1-24,A549,
30.933704,hIFIT3,bRSV dSH 1-24,A549,
34.01739,hIFIT3,hRSV 1-24 ROXO 5-24,A549,
31.932377,hIFIT3,hRSV 1-24 ROXO 5-24,A549,
32.00153,hIFIT3,hRSV 1-24 ROXO 5-24,A549,
31.987776,hIFIT3,hIFNa 1000-24,A549,
31.53155,hIFIT3,hIFNa 1000-24,A549,
28.97607,hIFIT3,hIFNa 1000-24,A549,
36.53017044,hIFIT5,Mock,A549,
36.94193268,hIFIT5,Mock,A549,
35.12321472,hIFIT5,Mock,A549,
33.8433075,hIFIT5,bRSV dSH 1-24,A549,
33.30157471,hIFIT5,bRSV dSH 1-24,A549,
33.18407059,hIFIT5,bRSV dSH 1-24,A549,
35.01197052,hIFIT5,hRSV 1-24 ROXO 5-24,A549,
35.10480881,hIFIT5,hRSV 1-24 ROXO 5-24,A549,
36.2652092,hIFIT5,hRSV 1-24 ROXO 5-24,A549,
33.26561356,hIFIT5,hIFNa 1000-24,A549,
33.71578217,hIFIT5,hIFNa 1000-24,A549,
34.43896866,hIFIT5,hIFNa 1000-24,A549,
30.443714,hIFIT1,Mock,BEAS2B,
29.672134,hIFIT1,Mock,BEAS2B,
28.845917,hIFIT1,Mock,BEAS2B,
30.039465,hIFIT1,bRSV dSH 1-24,BEAS2B,
27.804287,hIFIT1,bRSV dSH 1-24,BEAS2B,
28.132534,hIFIT1,bRSV dSH 1-24,BEAS2B,
33.397625,hIFIT1,hRSV 1-24 ROXO 5-24,BEAS2B,
32.981327,hIFIT1,hRSV 1-24 ROXO 5-24,BEAS2B,
31.071117,hIFIT1,hRSV 1-24 ROXO 5-24,BEAS2B,
26.903517,hIFIT1,hIFNa 1000-24,BEAS2B,
27.659212,hIFIT1,hIFNa 1000-24,BEAS2B,
29.350893,hIFIT1,hIFNa 1000-24,BEAS2B,
35.84872,hIFIT2,Mock,BEAS2B,
34.96267,hIFIT2,Mock,BEAS2B,
35.606636,hIFIT2,Mock,BEAS2B,
35.581734,hIFIT2,bRSV dSH 1-24,BEAS2B,
34.512135,hIFIT2,bRSV dSH 1-24,BEAS2B,
34.96664,hIFIT2,bRSV dSH 1-24,BEAS2B,
34.866024,hIFIT2,hRSV 1-24 ROXO 5-24,BEAS2B,
35.149635,hIFIT2,hRSV 1-24 ROXO 5-24,BEAS2B,
34.28746,hIFIT2,hRSV 1-24 ROXO 5-24,BEAS2B,
34.44457,hIFIT2,hIFNa 1000-24,BEAS2B,
32.400345,hIFIT2,hIFNa 1000-24,BEAS2B,
32.53159,hIFIT2,hIFNa 1000-24,BEAS2B,
34.583733,hIFIT3,Mock,BEAS2B,
34.014645,hIFIT3,Mock,BEAS2B,
32.150536,hIFIT3,Mock,BEAS2B,
35.369293,hIFIT3,bRSV dSH 1-24,BEAS2B,
31.118858,hIFIT3,bRSV dSH 1-24,BEAS2B,
32.16453,hIFIT3,bRSV dSH 1-24,BEAS2B,
37.52783,hIFIT3,hRSV 1-24 ROXO 5-24,BEAS2B,
36.920986,hIFIT3,hRSV 1-24 ROXO 5-24,BEAS2B,
32.60775,hIFIT3,hRSV 1-24 ROXO 5-24,BEAS2B,
30.165133,hIFIT3,hIFNa 1000-24,BEAS2B,
30.841492,hIFIT3,hIFNa 1000-24,BEAS2B,
33.24528,hIFIT3,hIFNa 1000-24,BEAS2B,
35.12265778,hIFIT5,Mock,BEAS2B,
34.59728622,hIFIT5,Mock,BEAS2B,
34.49874878,hIFIT5,Mock,BEAS2B,
35.30020142,hIFIT5,bRSV dSH 1-24,BEAS2B,
33.20800018,hIFIT5,bRSV dSH 1-24,BEAS2B,
33.36139297,hIFIT5,bRSV dSH 1-24,BEAS2B,
36.67665863,hIFIT5,hRSV 1-24 ROXO 5-24,BEAS2B,
36.80149078,hIFIT5,hRSV 1-24 ROXO 5-24,BEAS2B,
34.97107697,hIFIT5,hRSV 1-24 ROXO 5-24,BEAS2B,
32.93935394,hIFIT5,hIFNa 1000-24,BEAS2B,
33.68104172,hIFIT5,hIFNa 1000-24,BEAS2B,
35.3503685,hIFIT5,hIFNa 1000-24,BEAS2B,
22.345457,hGAPDH,Mock,A549,
22.555557,hGAPDH,Mock,A549,
22.170855,hGAPDH,Mock,A549,
22.0256,hGAPDH,bRSV dSH 1-24,A549,
22.220903,hGAPDH,bRSV dSH 1-24,A549,
21.9965,hGAPDH,bRSV dSH 1-24,A549,
22.134523,hGAPDH,hRSV 1-24 ROXO 5-24,A549,
22.305208,hGAPDH,hRSV 1-24 ROXO 5-24,A549,
22.388435,hGAPDH,hRSV 1-24 ROXO 5-24,A549,
21.984028,hGAPDH,hIFNa 1000-24,A549,
22.13529,hGAPDH,hIFNa 1000-24,A549,
22.442225,hGAPDH,hIFNa 1000-24,A549,
22.44584,hGAPDH,Mock,BEAS2B,
22.417065,hGAPDH,Mock,BEAS2B,
22.400724,hGAPDH,Mock,BEAS2B,
22.223192,hGAPDH,bRSV dSH 1-24,BEAS2B,
21.872173,hGAPDH,bRSV dSH 1-24,BEAS2B,
22.24747,hGAPDH,bRSV dSH 1-24,BEAS2B,
22.833456,hGAPDH,hRSV 1-24 ROXO 5-24,BEAS2B,
22.33951,hGAPDH,hRSV 1-24 ROXO 5-24,BEAS2B,
22.689648,hGAPDH,hRSV 1-24 ROXO 5-24,BEAS2B,
21.978989,hGAPDH,hIFNa 1000-24,BEAS2B,
22.833416,hGAPDH,hIFNa 1000-24,BEAS2B,
22.488922,hGAPDH,hIFNa 1000-24,BEAS2B,
