Copy_number,Ct,Target,Condition,Cell_line,Additional_info
,27.35308075,bIFIT1,phRSV 1-24,MDBK,
,27.3079567,bIFIT1,phRSV 1-24,MDBK,
,27.12252426,bIFIT1,phRSV 1-24,MDBK,
,28.38039017,bIFIT1,Mock,MDBK,
,27.7953949,bIFIT1,Mock,MDBK,
,27.53733826,bIFIT1,Mock,MDBK,
,29.68420601,bIFIT1,bIFNa 5-6,MDBK,
,23.57785034,bIFIT1,bIFNa 5-6,MDBK,
,24.14786911,bIFIT1,bIFNa 5-6,MDBK,
